cd_id,updated,status,indexed_late
CD002138,N,A,
CD002139,Y,A,
CD002142,Y,A,
CD002143,Y,A,
CD002146,N,A,
CD002147,Y,A,
CD002148,Y,A,
CD002150,Y,A,
CD002151,Y,A,
CD002152,Y,A,
CD002153,Y,A,
CD002154,Y,A,
CD002155,Y,A,
CD002158,N,A,
CD002160,Y,A,
CD002162,Y,A,
CD002163,Y,A,
CD002165,Y,A,
CD002166,Y,A,
CD002168,Y,A,
CD002169,N,X,
CD002170,N,A,
CD002171,Y,A,
CD002174,Y,A,
CD002178,N,A,
CD002180,Y,A,
CD002181,Y,A,
CD002182,N,W,
CD002183,Y,A,
CD002188,N,W,
CD002192,Y,A,
CD002193,Y,A,
CD002194,Y,A,
CD002195,Y,A,
CD002197,N,A,
CD002199,Y,A,
CD002200,Y,A,
CD002201,Y,A,
CD002202,Y,A,
CD002203,Y,A,
CD002204,Y,A,
CD002206,Y,A,
CD002207,Y,A,
CD002209,Y,A,
CD002210,Y,A,
CD002211,Y,A,
CD002213,Y,A,
CD002215,N,A,
CD002217,Y,A,
CD002218,Y,A,
CD002219,Y,A,
CD002221,Y,A,
CD002224,Y,A,
CD002225,Y,A,
CD002227,Y,A,
CD002231,N,A,
CD002232,Y,A,
CD002233,Y,A,
CD002234,Y,A,
CD002235,Y,A,
CD002238,Y,A,
CD002239,Y,A,
CD002240,Y,A,
CD002242,Y,A,
CD002244,Y,A,
CD002245,Y,A,
CD002246,Y,A,
CD002247,Y,A,
CD002250,Y,A,
CD002251,Y,A,
CD002252,Y,A,
CD002254,Y,A,
CD002255,Y,A,
CD002256,Y,A,
CD002258,Y,A,
CD002259,N,A,
CD002261,N,A,
CD002265,Y,A,
CD002267,Y,A,
CD002269,Y,A,
CD002270,Y,A,
CD002271,Y,A,
CD002272,Y,A,
CD002275,Y,A,
CD002279,Y,A,
CD002280,N,A,
CD002286,Y,A,
CD002290,Y,A,
CD002293,Y,A,
CD002294,Y,A,
CD002295,Y,A,
CD002296,Y,A,
CD002299,Y,A,
CD002300,Y,S,
CD002301,Y,A,
CD002302,N,A,
CD002303,N,A,
CD002304,Y,A,
CD002305,N,A,
CD002306,N,A,
CD002308,Y,A,
CD002310,Y,A,
CD002311,Y,A,
CD002312,Y,A,
CD002314,Y,A,
CD002316,Y,A,
CD002317,Y,A,
CD002731,Y,A,
CD002733,Y,A,
CD002734,Y,A,
CD002738,Y,A,
CD002741,Y,A,
CD002742,N,A,
CD002743,N,W,
CD002750,Y,A,
CD002751,Y,A,
CD002760,Y,A,
CD002762,Y,A,
CD002763,Y,A,
CD002764,N,A,
CD002765,Y,A,
CD002767,Y,A,
CD002768,Y,A,
CD002770,Y,A,
CD002771,Y,A,
CD002772,Y,A,
CD002773,Y,A,
CD002774,Y,A,
CD002775,Y,A,
CD002776,N,A,
CD002777,Y,A,Y
CD002779,Y,A,
CD002784,Y,A,
CD002785,Y,A,
CD002787,Y,A,
CD002791,Y,A,
CD002795,Y,A,
CD002796,N,A,
CD002798,Y,A,
CD002800,Y,A,
CD002803,Y,A,
CD002804,N,A,
CD002805,N,A,
CD002806,Y,A,
CD002807,Y,A,
CD002808,Y,A,
CD002810,Y,A,
CD002811,Y,A,
CD002812,N,A,
CD002813,Y,A,
CD002814,N,A,
CD002815,N,A,
CD002816,N,A,
CD002817,N,A,
CD002819,Y,A,
CD002822,Y,A,
CD002823,Y,A,
CD002825,N,A,
CD002826,N,A,
CD002830,Y,A,
CD002831,Y,A,
CD002832,Y,A,
CD002834,Y,A,
CD002837,Y,A,
CD002839,Y,A,
CD002842,N,A,
CD002843,N,A,
CD002845,Y,A,
CD002847,Y,A,
CD002849,Y,A,
CD002850,Y,A,
CD002852,Y,A,
CD002854,Y,A,
CD002860,N,A,
CD002862,Y,A,
CD002863,Y,A,
CD002864,Y,A,
CD002865,Y,A,
CD002867,Y,A,
CD002869,Y,A,
CD002872,Y,A,
CD002873,N,A,
CD002875,Y,A,
CD002878,N,A,
CD002879,N,A,
CD002881,Y,A,
CD002883,Y,A,
CD002884,Y,A,
CD002890,Y,A,
CD002891,Y,A,
CD002894,Y,A,
CD002896,Y,A,
CD002897,Y,A,
CD002898,Y,A,
CD002900,Y,A,
CD002901,Y,A,
CD002903,Y,A,
CD002907,Y,A,
CD002911,Y,A,
CD002913,Y,A,
CD002920,Y,A,
CD002924,Y,A,
CD002928,Y,A,
CD002929,Y,A,
CD002930,Y,A,
CD002933,Y,A,
CD002935,N,A,
CD002938,N,A,
CD002942,Y,A,
CD002943,N,A,
CD002946,Y,A,
CD002947,N,A,
CD002948,Y,A,
CD002950,Y,A,
CD002954,Y,A,
CD002958,Y,A,
CD002960,Y,A,
CD002962,Y,A,
CD002963,Y,A,
CD002964,Y,A,
CD002967,Y,A,
CD002969,Y,A,
CD002971,Y,A,
CD002972,Y,A,
CD002973,Y,A,
CD002974,Y,A,
CD002975,Y,A,
CD002976,Y,A,
CD002977,Y,A,
CD002978,Y,A,
CD002980,Y,A,
CD002984,N,A,
CD002985,Y,A,
CD002987,Y,A,
CD002988,N,A,
CD002989,Y,A,Y
CD002992,Y,A,
CD002993,Y,A,
CD002994,Y,A,
